Complexity,Loss,Equation
1,3.7645712,"0.9928613"
3,3.7357566,"(0.9606645 / x1)"
4,3.7219527,"(0.68988377 / log1p(x1))"
5,3.7065108,"log1p(sqrt(x3 / x1))"
6,3.6723998,"(sqrt(x0 + x2) / x1)"
7,3.6615143,"(((x4 * x2) * 0.007802233) + 0.8300218)"
8,3.6549413,"sqrt(0.77220964 / (x1 - (x2 * 0.419717)))"
9,3.5892224,"((((x4 / x1) * 0.007507076) * x2) + 0.8247538)"
10,3.5240326,"(0.94602674 + (-0.23154737 / ((x4 + sqrt(x4)) - x5)))"
11,3.5240324,"(0.94609666 - (log1p(0.2604773) / ((x4 + sqrt(x4)) - x5)))"
12,3.5045586,"((0.9154296 / x1) - (0.22478667 / ((x4 + sqrt(x4)) - x5)))"
13,3.491396,"((0.6567068 / log1p(x1)) - (0.22447209 / ((x4 + sqrt(x4)) - x5)))"
14,3.4905124,"(((0.6568276 / x1) - (0.22450101 / ((x4 + sqrt(x4)) - x5))) + 0.29232875)"
15,3.4713838,"(sqrt((x3 / 3.2317803) / x1) - (0.22609445 / ((x4 + sqrt(x4)) - x5)))"
